Câu hỏi,Câu trả lời
Tại sao tôi bị đau đầu vùng chẩm (sau gáy) sau hiến máu?,"Đau đầu vùng chẩm có thể do co cơ chẩm (tension headache) do lo lắng, căng thẳng, hoặc tư thế nằm gây chèn ép dây thần kinh chẩm. Massage gáy, chườm ấm, uống nước. Hết sau 1-2 ngày. Nếu đau đập mạnh, nôn, cần đo huyết áp."
Vai trò của chỉ số TGF-β (Transforming growth factor beta),"TGF-β là cytokine điều hòa tăng sinh tế bào, viêm, xơ hóa. Cao trong xơ tủy, xơ gan, suy thận. Xét nghiệm không thường quy. Hiến máu có thể làm giảm TGF-β nhờ giảm sắt. Không chẩn đoán."
Hiến máu có làm tăng nguy cơ bị hen suyễn không?,"Không có bằng chứng. Hen suyễn là bệnh viêm đường thở mạn, liên quan di truyền, dị ứng. Hiến máu không làm khởi phát hen. Tuy nhiên, nếu bạn lo lắng, căng thẳng có thể gây cơn hen cấp. Mang theo thuốc xịt cắt cơn nếu cần."
"Tôi bị bệnh u tế bào ưa crom (Pheochromocytoma) đã mổ, có hiến được không?","Pheochromocytoma là u tủy thượng thận tiết catecholamin (adrenalin, noradrenalin), gây tăng huyết áp kịch phát, nhồi máu cơ tim. Dù đã mổ, nguy cơ tái phát có thể 10-20% (di căn). Bạn không được hiến máu. Theo dõi huyết áp và xét nghiệm metanephrines định kỳ."
Tại sao tôi bị đau khớp gối sau khi hiến máu?,"Đau khớp gối không liên quan trực tiếp. Nguyên nhân: 1) Bạn ngồi xổm hoặc đứng lâu trước khi hiến. 2) Bạn bị viêm khớp dạng thấp, thoái hóa khớp khởi phát cơn. 3) Mất nước làm giảm dịch khớp, tăng ma sát. Uống đủ nước, nghỉ ngơi, chườm ấm."
Vai trò của chỉ số YKL-40 (Chitinase-3-like protein 1),"YKL-40 là dấu ấn viêm, tăng trong xơ vữa động mạch, viêm xương khớp, ung thư. Tăng trong nhiều bệnh, không đặc hiệu. Xét nghiệm nghiên cứu. Không liên quan hiến máu."
Hiến máu có ảnh hưởng đến kết quả điện tâm đồ (ECG) không?,"Không đáng kể. Hiến máu làm nhịp tim tăng nhẹ, có thể thay đổi sóng T (do hạ kali). Tuy nhiên, ECG vẫn được đọc bình thường. Nếu ECG có bất thường mới (block nhánh, ST chênh), cần khám tim mạch."
"Tôi bị bệnh u trung thất (Thymoma) đã mổ, có hiến được không?","U tuyến ức (thymoma) là u hiếm, có thể lành hoặc ác. Di căn qua đường máu hiếm gặp, nhưng có thể tái phát tại chỗ. Nếu đã mổ cắt bỏ hoàn toàn, không có bệnh nhược cơ (myasthenia gravis), không dùng thuốc ức chế miễn dịch, bạn có thể được hiến máu sau 5 năm. Cần bác sĩ đánh giá."
Tại sao tôi bị đau bắp chân sau khi hiến máu?,"Đau bắp chân có thể do chuột rút (mất điện giải), do ngồi lâu không di chuyển (tư thế đứng lấy máu trong 15 phút), hoặc do thiếu máu cơ (giảm oxy). Đi lại nhẹ nhàng, uống nước điện giải, bấm huyệt. Nếu đau kèm sưng nóng đỏ, có thể viêm tắc tĩnh mạch nông (hiếm)."
Vai trò của chỉ số Pentraxin-3 (PTX3),"PTX3 là protein pha cấp, tăng trong viêm mạch, nhồi máu cơ tim, nhiễm khuẩn huyết. Nhanh hơn CRP. Xét nghiệm trong nghiên cứu. Không liên quan hiến máu."
Hiến máu có làm thay đổi khứu giác không?,"Không. Khứu giác liên quan đến dây thần kinh số I, thường bị ảnh hưởng bởi viêm mũi xoang, COVID-19, chấn thương đầu. Hiến máu không ảnh hưởng. Nếu bạn mất khứu giác sau hiến, rất có thể bạn bị nhiễm COVID-19 trùng hợp."
"Tôi bị bệnh u mạch máu (Hemangioma) kích thước lớn ở gan, có hiến được không?","U máu gan là u lành tính, không di căn, không liên quan đến máu lưu thông. Bạn vẫn có thể hiến máu bình thường nếu u không gây triệu chứng (đau, vỡ, suy gan). Nếu u máu lớn >5cm và có nguy cơ vỡ, bạn không nên hiến (tránh tụt huyết áp làm vỡ u). Hỏi bác sĩ chuyên khoa gan."
Tại sao tôi bị đau tức ngực sau khi hiến máu?,"Đau tức ngực (angina-like) cần được xem xét nghiêm túc. Nguyên nhân: 1) Lo âu, tăng thông khí. 2) Co thắt thực quản. 3) Thiếu máu cơ tim (hiếm, nhưng nếu bạn có bệnh mạch vành). Nếu đau lan lên vai trái, khó thở, toát mồ hôi, hãy cấp cứu ngay. Nếu chỉ hơi tức, không lan, hết nhanh, có thể lành tính."
Vai trò của chỉ số S100B,"S100B là protein trong tế bào thần kinh đệm (astrocyte), tăng trong tổn thương não (chấn thương sọ não, xuất huyết não, u não). Xét nghiệm S100B giúp loại trừ tổn thương não cấp (giá trị âm tính cao). Không liên quan hiến máu."
"Tôi bị bệnh u nang ống mật chủ (Choledochal cyst) đã phẫu thuật, có hiến máu được không?","U nang ống mật chủ là bệnh lý bẩm sinh, nếu đã cắt bỏ hoàn toàn và tái tạo đường mật, không còn viêm đường mật tái phát, không xơ gan, men gan bình thường, bạn vẫn có thể hiến máu. Tuy nhiên, nếu có biến chứng viêm đường mật kéo dài (gây thiếu máu viêm mạn), bạn sẽ không đủ sức khỏe."
Tại sao tôi bị tê bì đầu ngón chân sau khi hiến máu?,"Tê bì đầu ngón chân có thể do thiếu vitamin B12 (cơ thể cần B12 để tạo hồng cầu). Hiến máu kích thích tạo hồng cầu mới, làm giảm nhẹ dự trữ B12 ở người ăn chay trường. Cũng có thể do tư thế nằm gây chèn ép dây thần kinh mác (peroneal nerve). Bổ sung B12, thay đổi tư thế. Hết sau vài ngày."
Vai trò của chỉ số Adrenomedullin,"Adrenomedullin là chất giãn mạch, tăng trong sốc nhiễm khuẩn, suy tim, tăng huyết áp phổi. Xét nghiệm adrenomedullin có tiên lượng tử vong trong sốc. Không liên quan hiến máu. Hiến máu làm giảm nhẹ adrenomedullin (do giảm thể tích)."
Hiến máu có ảnh hưởng đến kết quả chụp cộng hưởng từ (MRI) không?,"Không. MRI dùng từ trường, không liên quan đến thành phần máu. Tuy nhiên, nếu bạn bị thiếu máu nặng sau hiến (không có), hình ảnh MRI không thay đổi. Bạn có thể chụp MRI ngay sau hiến mà không cần lo lắng."
Tôi bị bệnh loạn sản sụn xương (Osteochondrodysplasia) có hiến máu được không?,"Loạn sản sụn xương là nhóm bệnh di truyền gây lùn, biến dạng xương, thường không ảnh hưởng đến hệ tạo máu. Nếu không có suy hô hấp (lồng ngực biến dạng chèn ép tim phổi), không có bệnh lý máu kèm theo (suy tủy xương?), bạn vẫn có thể hiến máu. Tuy nhiên, nhiều trung tâm từ chối vì khó lấy tĩnh mạch (tay chân ngắn, cong)."
Tại sao tôi bị nổi mề đay toàn thân sau khi hiến máu 2 giờ?,"Nổi mề đay toàn thân là phản ứng dị ứng cấp (type I) có thể do: 1) Dị ứng với dung dịch sát khuẩn (cồn, betadine) bôi trên da. 2) Dị ứng với băng keo hoặc chất gây tê (nếu có). 3) Dị ứng với chất chống đông (citrate) cực kỳ hiếm. Điều trị bằng thuốc kháng histamin (Loratadine, Cetirizine), bôi kem chống ngứa. Nếu khó thở, phù môi/mắt → cấp cứu."
Vai trò của chỉ số Orexin,"Orexin (hypocretin) là neuropeptide điều hòa thức tỉnh, ham muốn ăn. Thiếu orexin gây chứng ngủ rũ (narcolepsy). Hiến máu có thể làm giảm orexin (do mệt), nhưng tạm thời. Xét nghiệm orexin trong dịch não tủy chẩn đoán narcolepsy."
Hiến máu có giúp giảm nguy cơ mắc bệnh Parkinson không?,"Một số nghiên cứu dịch tễ cho thấy người hiến máu thường xuyên có tỷ lệ Parkinson thấp hơn, nhưng mối liên hệ chưa rõ (có thể do người hiến máu lối sống lành mạnh hơn). Giảm sắt dự trữ (yếu tố nguy cơ Parkinson) có thể đóng vai trò bảo vệ. Tuy nhiên, không đủ bằng chứng khuyến cáo hiến máu để phòng Parkinson."
"Tôi bị bệnh áp-xe gan do amip (Entamoeba histolytica) đã điều trị, khi nào hiến máu?","Áp-xe gan do amip thường lành tính sau điều trị Metronidazole. Tuy nhiên, amip có thể tồn tại dưới dạng bào nang trong gan và đại tràng. Bạn cần hoãn hiến ít nhất 2 năm sau khi khỏi bệnh (hết sốt, hết đau, siêu âm ổ áp-xe đã biến mất hoặc xơ hóa) và có xét nghiệm kháng thể amip âm tính."
Tại sao tôi bị ra mồ hôi lạnh và buồn nôn nhưng không choáng?,"Ra mồ hôi lạnh (cold sweat) và buồn nôn là dấu hiệu của phản ứng phó giao cảm thể nhẹ (vasovagal reaction). Bạn chưa đến mức choáng (mất ý thức). Nguyên nhân: nhìn thấy máu, đau, lo lắng. Nằm nghỉ, nâng cao chân, uống nước đường, thở sâu. Sẽ hết trong 10-15 phút. Không nguy hiểm."
Vai trò của chỉ số Neopterin,"Neopterin là dấu ấn kích hoạt đại thực bào, tăng trong nhiễm virus (HIV, CMV, EBV), ung thư, bệnh tự miễn. Xét nghiệm neopterin theo dõi tiến triển HIV (không dùng phổ biến). Hiến máu làm tăng neopterin nhẹ (do viêm)."
Hiến máu có ảnh hưởng đến kết quả xét nghiệm kháng thể kháng thân (ANA) không?,"Không. ANA dương tính trong bệnh tự miễn (lupus, xơ cứng bì). Hiến máu không làm thay đổi ANA. Nếu bạn bị bệnh tự miễn, bạn thường bị loại khỏi danh sách hiến máu vì lý do an toàn (thuốc ức chế miễn dịch, kháng thể bất thường)."
"Tôi bị bệnh thoát vị cơ hoành bẩm sinh (CDH) đã mổ, có hiến được không?","Thoát vị cơ hoành bẩm sinh thường được phẫu thuật ngay sau sinh, có thể để lại di chứng: phổi kém phát triển (hypoplasia), tăng áp phổi, trào ngược dạ dày. Nếu bạn trưởng thành, không suy hô hấp, không suy tim, bạn có thể hiến máu. Cần đánh giá chức năng hô hấp (spirometry) trước."
Tại sao tôi bị khát nước bất thường sau khi hiến máu?,"Khát nước nhiều (polydipsia) là phản ứng bình thường do cơ thể mất dịch. Uống nước, sau vài giờ hết. Nếu khát kéo dài >24 giờ, uống nhiều >5 lít/ngày, kèm tiểu nhiều, sụt cân, có thể bạn bị đái tháo đường (tiểu đường) khởi phát trùng hợp. Xét nghiệm đường huyết và HbA1c."
Vai trò của chỉ số Yếu tố H (Factor H),"Yếu tố H là chất điều hòa bổ thể, ngăn chặn hoạt hóa bổ thể bừa bãi trên bề mặt tế bào bình thường. Thiếu yếu tố H gây hội chứng tan máu urê huyết không điển hình (aHUS), bệnh lý cầu thận. Xét nghiệm yếu tố H ít dùng."
Hiến máu có làm giảm ham muốn tình dục ở phụ nữ không?,"Không có bằng chứng. Ham muốn tình dục nữ liên quan đến estrogen, testosterone, tâm lý, sức khỏe tổng thể. Hiến máu gây mệt mỏi tạm thời (vài ngày) có thể làm giảm ham muốn nhất thời, nhưng không lâu dài. Sau khi phục hồi, ham muốn trở lại bình thường."
"Tôi bị bệnh ruột xoay (Malrotation) đã mổ, có hiến được không?","Ruột xoay bất thường bẩm sinh, được phẫu thuật cố định ruột (Ladd's procedure). Nếu không có hội chứng ruột ngắn, kém hấp thu, không suy dinh dưỡng, không thiếu máu, bạn vẫn có thể hiến máu. Cần bác sĩ đánh giá tình trạng dinh dưỡng (albumin, ferritin)."
Tại sao tôi bị đau nhức xương sau khi hiến máu?,"Đau nhức xương có thể do tủy xương tăng sinh tạo hồng cầu (hiếm gặp, chỉ xảy ra khi bạn bị thiếu máu nặng từ trước). Bình thường, hiến máu không gây đau xương. Có thể bạn bị viêm khớp, thoái hóa cột sống, hoặc đau cơ xương do mệt. Nếu đau kèm sốt, sút cân, cần khám loại trừ bệnh lý huyết học (đa u tủy, bạch cầu)."
Vai trò của chỉ số Yếu tố I (Factor I),"Yếu tố I (bổ thể) phân hủy C3b và C4b, ngăn chặn hoạt hóa bổ thể quá mức. Thiếu yếu tố I gây nhiễm trùng tái phát, bệnh tự miễn (lupus). Xét nghiệm trong bệnh lý bổ thể hiếm gặp."
Hiến máu có ảnh hưởng đến kết quả đo mật độ xương (DEXA) không?,"Không. Đo mật độ xương bằng DEXA sử dụng tia X, không liên quan đến máu. Thiếu máu không làm sai lệch kết quả. Tuy nhiên, nếu bạn bị thiếu máu do thiếu sắt kéo dài, xương có thể bị loãng (do giảm tạo xương), nhưng hiến máu không đủ gây loãng xương."
"Tôi bị bệnh lõm ngực bẩm sinh (Pectus excavatum) đã phẫu thuật, có hiến được không?","Lõm ngực bẩm sinh có thể chèn ép tim, phổi nếu nặng. Sau phẫu thuật (phương pháp Nuss), nếu không còn khó thở, không suy tim, không mắc bệnh lý mô liên kết (Marfan), bạn có thể hiến máu. Cần kiểm tra chức năng hô hấp trước."
Tại sao tôi bị chảy máu lợi khi đánh răng sau khi hiến máu?,"Chảy máu lợi có thể do bạn bị viêm lợi (gingivitis) từ trước. Hiến máu gây mất nước, làm khô miệng, lợi dễ tổn thương hơn. Ngoài ra, hiến máu không làm giảm tiểu cầu đủ để gây chảy máu lợi. Hãy vệ sinh răng miệng, dùng chỉ nha khoa, gặp nha sĩ. Nếu chảy máu nhiều, kiểm tra tiểu cầu."
Vai trò của chỉ số Yếu tố D (Factor D),"Yếu tố D (adipsin) là enzyme của bổ thể, cần thiết cho hoạt hóa con đường tắt (alternative pathway). Thiếu yếu tố D gây nhiễm khuẩn mủ, đặc biệt viêm màng não mô cầu. Hiếm gặp. Xét nghiệm yếu tố D dùng trong nghiên cứu."
Hiến máu có làm thay đổi kết quả xét nghiệm viêm gan C (HCV RNA) không?,"Không. Xét nghiệm HCV RNA định lượng không bị ảnh hưởng bởi hiến máu. Tuy nhiên, nếu bạn bị viêm gan C, bạn không được hiến máu (kể khi đã điều trị khỏi, tùy chính sách từng nước). Xét nghiệm HCV RNA dùng để theo dõi điều trị."
"Tôi bị bệnh dị ứng thuốc kháng sinh nhóm Cephalosporin, có hiến được không?","Dị ứng Cephalosporin không phải chống chỉ định hiến máu, vì bạn không đang dùng thuốc. Chỉ cần bạn không có triệu chứng dị ứng tại thời điểm hiến (nổi mề đay, khó thở). Dị ứng thuốc không ảnh hưởng đến chất lượng máu. Hãy thông báo với nhân viên y tế để họ chọn dung dịch sát khuẩn phù hợp (nếu bạn dị ứng với betadine, họ dùng cồn)."
Tại sao tôi bị đau hốc mắt sau khi hiến máu?,"Đau hốc mắt (sau nhãn cầu) có thể do tăng áp lực nội sọ nhẹ khi tụt huyết áp? Hoặc do bạn bị viêm xoang (viêm xoàn bướm) trùng hợp. Cũng có thể do mất nước gây khô mắt, kích thích dây thần kinh mắt. Nếu đau dữ dội kèm nhìn đôi, sụp mi, hãy khám bác sĩ mắt (hiếm gặp)."
Vai trò của chỉ số Yếu tố B (Factor B),"Yếu tố B là protein bổ thể, tham gia con đường tắt. Yếu tố B cao gặp trong viêm, nhiễm trùng; thấp gặp trong thiếu hụt bổ thể bẩm sinh gây nhiễm trùng nặng. Xét nghiệm ít dùng."
Hiến máu có ảnh hưởng đến kết quả xét nghiệm tầm soát ung thư cổ tử cung (Pap smear) không?,"Không. Pap smear lấy tế bào cổ tử cung, hoàn toàn độc lập với máu. Hiến máu không ảnh hưởng đến nội tiết hay biểu mô cổ tử cung. Bạn có thể làm Pap smear ngay sau hiến máu, kết quả chính xác."
"Tôi bị bệnh viêm màng bồ đào (Uveitis) do tự miễn, đang dùng Corticoid, có hiến được không?","Viêm màng bồ đào (uveitis) thường được điều trị bằng corticoid uống hoặc tiêm. Nếu bạn dùng corticoid liều cao (>10mg Prednisone/ngày), bạn không được hiến máu. Nếu đã ngừng corticoid ít nhất 1 tháng và bệnh ổn định, không dùng thuốc ức chế miễn dịch khác (Methotrexate, Azathioprine), bạn có thể hiến."
Tại sao tôi bị nấc cụt sau khi hiến máu?,"Nấc cụt (hiccup) do co thắt cơ hoành và cơ thanh môn, thường do kích thích dạ dày (nuốt hơi khi uống nước nhanh), hoặc do kích thích dây thần kinh phế vị (căng thẳng, lo sợ). Nấc cụt thường tự hết sau vài phút. Uống nước từ từ, nín thở, hoặc hít thở sâu vào túi giấy."
Vai trò của chỉ số Mannose-binding lectin (MBL),"MBL là protein gắn mannose, hoạt hóa bổ thể qua lectin pathway. Thiếu MBL gây nhiễm trùng tái phát ở trẻ em (viêm phổi, viêm màng não). Người thiếu MBL vẫn có thể hiến máu vì không ảnh hưởng đến người nhận (trừ khi người nhận suy giảm miễn dịch nặng?). Hầu hết trung tâm không xét nghiệm MBL."
Hiến máu có làm tăng nguy cơ sỏi thận không?,"Một số nghiên cứu cho thấy hiến máu làm giảm nguy cơ sỏi thận (do giảm sắt, giảm stress oxy hóa trong thận). Tuy nhiên, nếu bạn mất nước sau hiến (uống không đủ), nước tiểu cô đặc, có thể tăng nguy cơ sỏi oxalate. Uống đủ 2-3 lít nước/ngày sau hiến là an toàn."
Tại sao tôi bị mụn nhọt ở cánh tay sau hiến máu?,"Mụn nhọt (furuncle) do tụ cầu vàng (Staph aureus) xâm nhập qua nang lông. Vị trí gần vết kim có thể do vô trùng không tuyệt đối, hoặc do bạn tự gãi, chạm tay bẩn vào vết thương. Nếu sưng đỏ, đau, mưng mủ, cần điều trị kháng sinh (bôi hoặc uống). Tránh nặn."
Vai trò của chỉ số Calprotectin,"Calprotectin là protein từ bạch cầu trung tính, tăng trong viêm ruột (Crohn, viêm loét đại tràng). Xét nghiệm calprotectin trong phân chẩn đoán bệnh viêm ruột. Không liên quan hiến máu. Hiến máu làm tăng calprotectin huyết thanh (do viêm nhẹ?), nhưng ít dùng."
Hiến máu có ảnh hưởng đến kết quả chụp nhũ ảnh (mammogram) không?,"Không. Chụp vú (mammogram) phát hiện khối u, vi vôi hóa. Hiến máu không ảnh hưởng đến mô vú. Tuy nhiên, nếu bạn bị thiếu máu (da xanh xao), hình ảnh không thay đổi. Bạn có thể chụp mammogram bất kỳ lúc nào."
"Tôi bị bệnh sa van hai lá (Mitral valve prolapse) không hở van, có hiến được không?","Sa van hai lá nhẹ, không hở van, không rối loạn nhịp tim, không dùng thuốc chống đông (Warfarin). Bạn hoàn toàn có thể hiến máu. Nếu có hở van nhẹ, vẫn được nếu không suy tim. Cần được bác sĩ tim mạch xác nhận."
Tại sao tôi bị tê cóng đầu ngón tay sau hiến máu trong phòng lạnh?,"Hiến máu trong phòng điều hòa lạnh (22°C) kết hợp với mất máu làm giảm tuần hoàn ngoại biên, dễ bị tê cóng ngón tay. Mặc áo ấm, mang găng tay, uống nước ấm. Hiện tượng tạm thời. Nếu tê kéo dài kèm đau, thay đổi màu sắc (trắng, tím), có thể là hội chứng Raynaud. Cần khám."
Vai trò của chỉ số ProGRP (Pro-gastrin-releasing peptide),ProGRP là dấu ấn ung thư phổi tế bào nhỏ (SCLC). Xét nghiệm ProGRP cao gợi ý SCLC. Không liên quan hiến máu. Bệnh nhân SCLC không được hiến máu.
Hiến máu có làm giảm nguy cơ biến chứng mạch máu ở bệnh nhân tiểu đường không?,"Bệnh nhân tiểu đường kiểm soát tốt (HbA1c <7%) vẫn được hiến máu. Hiến máu làm giảm độ nhớt máu, cải thiện vi tuần hoàn, có thể giảm nguy cơ biến chứng vi mạch (võng mạc, thận). Tuy nhiên, chưa có nghiên cứu lớn. Kiểm soát đường huyết vẫn là quan trọng nhất."
Tôi bị bệnh đa nang thận (Autosomal dominant polycystic kidney disease) có hiến được không?,"Đa nang thận (ADPKD) thường tiến triển suy thận muộn, tăng huyết áp. Ở giai đoạn sớm (chức năng thận bình thường, không tăng huyết áp, không thiếu máu), bạn có thể hiến máu. Tuy nhiên, nếu đã có suy thận (creatinin cao, Hb thấp), bạn không được hiến. Cần theo dõi huyết áp và chức năng thận định kỳ."
Tại sao tôi bị đau lưng dưới sau khi hiến máu?,"Đau lưng dưới (thắt lưng) có thể do tư thế nằm sấp/ngửa không đúng, gây căng cơ cạnh cột sống. Hoặc do bệnh lý thận (sỏi thận) trùng hợp, do mất nước làm cơn đau quặn thận khởi phát. Uống nước, xoa bóp, chườm ấm. Nếu đau dữ dội, kèm tiểu máu, sốt, cần khám."
Vai trò của chỉ số SCC (Squamous cell carcinoma antigen),"SCC là dấu ấn ung thư biểu mô vảy (cổ tử cung, phổi, thực quản). Tăng trong ung thư, cũng tăng trong bệnh da (vảy nến, chàm). Bệnh nhân SCC không được hiến máu."
Hiến máu có ảnh hưởng đến kết quả xét nghiệm ADN (genetic testing) không?,"Không. Xét nghiệm ADN từ bạch cầu máu ngoại vi, hiến máu không thay đổi cấu trúc ADN (trừ khi bạn vừa tiếp xúc phóng xạ liều cao). Bạn có thể làm xét nghiệm di truyền bất cứ lúc nào."
"Tôi bị bệnh thiểu sản thận (Renal hypoplasia) một bên, thận còn lại bù, có hiến được không?","Thiểu sản thận bẩm sinh (một bên thận nhỏ), nếu thận còn lại bù tốt (chức năng thận bình thường: creatinin bình thường, không protein niệu, huyết áp bình thường), bạn vẫn có thể hiến máu. Tuy nhiên, cần thận trọng vì mất dịch có thể ảnh hưởng nhẹ đến chức năng thận. Nên uống đủ nước trước và sau hiến."
Tại sao tôi bị ho ra đờm có vệt máu sau khi hiến máu?,"Ho ra đờm lẫn máu (hemoptysis) không liên quan đến hiến máu. Nguyên nhân: viêm phế quản cấp, giãn phế quản, lao phổi, hoặc ung thư phổi (hiếm). Nếu bạn chưa từng ho ra máu trước đây, cần khám phổi ngay. Hiến máu không phải nguyên nhân."
Vai trò của chỉ số NSE (Neuron-specific enolase),"NSE là dấu ấn u thần kinh (u nguyên bào thần kinh, u tế bào nhỏ phổi). Tăng trong bệnh lý não (tai biến mạch máu não, xuất huyết não) cấp. Không liên quan hiến máu. Bệnh nhân u thần kinh không hiến máu."
Hiến máu có làm thay đổi kết quả xét nghiệm vi khuẩn lao (Quantiferon) không?,"Không. Quantiferon đo phản ứng miễn dịch tế bào với kháng nguyên lao. Hiến máu không ảnh hưởng đến tế bào lympho đủ để làm sai kết quả. Bạn có thể làm Quantiferon sau hiến máu 1-2 ngày. Nếu dương tính, bạn không bị loại trừ hiến máu (vì lao tiềm ẩn không lây qua đường máu), nhưng nếu lao hoạt động, bạn bị hoãn."
"Tôi bị bệnh lupus ban đỏ da (Discoid lupus) không ảnh hưởng nội tạng, có hiến được không?","Lupus da (discoid) chỉ giới hạn ở da, không có kháng thể toàn thân (ANA thường âm tính hoặc yếu), không suy thận, không thiếu máu. Bạn có thể hiến máu nếu không dùng corticoid toàn thân, không dùng thuốc ức chế miễn dịch (Hydroxychloroquine vẫn được chấp nhận)."
Tại sao tôi bị đau dạ dày sau khi hiến máu?,"Đau dạ dày có thể do bạn uống nước lạnh quá nhiều sau hiến (kích thích dạ dày). Hoặc do bạn bị viêm loét dạ dày từ trước, căng thẳng (hiến máu) làm tăng tiết acid. Ăn cháo ấm, uống sữa ấm, dùng thuốc kháng acid (nếu cần). Nếu đau dữ dội, đi ngoài phân đen, cần khám."
Vai trò của chỉ số Chromogranin A (CgA),"CgA là dấu ấn u thần kinh nội tiết (carcinoid, pheochromocytoma, u tụy nội tiết). Tăng cũng gặp trong suy tim, viêm mạn. Bệnh nhân u thần kinh nội tiết không hiến máu."
Hiến máu có ảnh hưởng đến kết quả sinh thiết cơ (muscle biopsy) không?,"Không. Sinh thiết cơ lấy mẫu cơ, đánh giá các bệnh lý cơ (viêm cơ, loạn dưỡng). Hiến máu không ảnh hưởng đến cấu trúc cơ. Tuy nhiên, nếu bạn bị viêm cơ (corticoid, methotrexate), bạn bị loại khỏi danh sách hiến."
"Tôi bị bệnh thủy đậu (Varicella) sau khi tiêm vắc xin, có hiến được không?","Bạn bị thủy đậu sau tiêm vắc xin (breakthrough varicella) do virus hoang dại. Bạn cần hoãn hiến cho đến khi khỏi hoàn toàn (các mụn nước đã đóng vảy khô) và đã qua 14 ngày từ khi mọc mụn cuối cùng. Thủy đậu nặng (viêm phổi, viêm não) phải hoãn 6 tháng."
Tại sao tôi bị sưng môi sau khi hiến máu?,"Sưng môi (angioedema) có thể là phản ứng dị ứng nghiêm trọng với chlorhexidine (chất sát khuẩn), hoặc với cao su (găng tay, băng keo), hoặc với chất chống đông (citrate). Nếu kèm khó thở, phù thanh quản, cần cấp cứu (tiêm epinephrine). Nếu chỉ sưng môi nhẹ, dùng kháng histamin, theo dõi. Báo ngay cho nhân viên y tế."
Vai trò của chỉ số HE4 (Human epididymis protein 4),"HE4 là dấu ấn ung thư buồng trứng, đặc hiệu hơn CA125. Tăng trong ung thư buồng trứng, u nang buồng trứng, lạc nội mạc tử cung. Bệnh nhân ung thư buồng trứng không hiến máu."
Hiến máu có làm tăng nguy cơ tái phát bệnh zona (giời leo) không?,"Không. Zona tái phát do suy giảm miễn dịch (tuổi già, HIV, stress). Hiến máu làm giảm nhẹ bạch cầu trong vài ngày, nhưng không đủ để gây tái phát zona. Nếu bạn bị zona, hãy hoãn hiến cho đến khi khỏi (vảy khô). Sau đó, hiến bình thường."
Tôi bị bệnh viêm cầu thận IgA (Berger's disease) có hiến được không?,"Viêm cầu thận IgA (IgAN) thể nhẹ (protein niệu <0.5g/ngày, creatinin bình thường, không tăng huyết áp), bạn có thể hiến máu. Tuy nhiên, nếu có suy thận (creatinin tăng, Hb giảm) hoặc dùng thuốc ức chế miễn dịch (Corticoid, Mycophenolate), bạn không được hiến. Cần bác sĩ thận học đánh giá."
Tại sao tôi bị đau tức vùng xương ức sau khi hiến máu?,"Đau xương ức có thể do tư thế nằm sấp chèn ép xương ức, hoặc do viêm sụn sườn (costochondritis) trùng hợp. Hiến máu không gây đau xương ức. Nếu đau kèm khó thở, sốt, cần khám loại trừ viêm màng ngoài tim, nhồi máu cơ tim (hiếm)."
Vai trò của chỉ số Cyfra 21-1,Cyfra 21-1 là dấu ấn ung thư phổi không tế bào nhỏ (NSCLC). Tăng trong ung thư biểu mô vảy phổi. Bệnh nhân ung thư phổi không hiến máu.
Hiến máu có ảnh hưởng đến kết quả xét nghiệm Canxi máu không?,"Hiến máu toàn phần làm giảm nhẹ canxi (do citrate chống đông không đi vào cơ thể). Hiến tiểu cầu gạn tách (có citrate trả về) làm giảm canxi tạm thời (hạ canxi máu). Xét nghiệm canxi ngay sau hiến tiểu cầu có thể bị giảm giả tạo. Nên xét nghiệm canxi sau 24 giờ. Nếu hạ canxi có triệu chứng (tê, chuột rút), uống canxi."
"Tôi bị bệnh thận đái tháo đường (Diabetic nephropathy) giai đoạn sớm, có hiến được không?","Bệnh thận đái tháo đường giai đoạn sớm (microalbumin niệu 30-300 mg/ngày, eGFR >60, Hb bình thường, không phù). Nếu kiểm soát tốt đường huyết (HbA1c<7%), huyết áp (<130/80), bạn có thể hiến máu. Tuy nhiên, nếu có thiếu máu do bệnh thận (Hb <120), bạn không được hiến."
Tại sao tôi bị đau cơ delta (vai) sau khi hiến máu?,"Đau cơ delta (cơ vai) do bạn giữ cánh tay duỗi thẳng, co cứng cơ trong 10-15 phút. Thả lỏng, xoa bóp, duỗi vai nhẹ nhàng. Hết sau 1-2 ngày. Không phải viêm gân."
Vai trò của chỉ số CA 19-9,"CA 19-9 là dấu ấn ung thư tụy, đường mật, đại trực tràng. Cũng tăng trong viêm tụy, viêm đường mật, xơ gan. Bệnh nhân ung thư tụy không hiến máu."
Hiến máu có làm thay đổi kết quả xét nghiệm Coombs gián tiếp (IAT) không?,IAT phát hiện kháng thể bất thường trong huyết thanh. Hiến máu (lấy 350ml) không ảnh hưởng đến nồng độ kháng thể. Bạn vẫn có thể làm IAT sau hiến. IAT dương tính (ví dụ kháng thể anti-D ở phụ nữ Rh- có thai) không loại bạn khỏi danh sách hiến máu (nhưng bạn sẽ không được nhận máu Rh+ nếu cần truyền).
